iter	MultiClass
0	1.33915425
1	1.297712057
2	1.258017973
3	1.221930601
4	1.188577866
5	1.158934105
6	1.132605913
7	1.106325112
8	1.08135446
9	1.058608822
10	1.037635535
11	1.015847929
12	0.997225172
13	0.9770913778
14	0.9586678064
15	0.94168474
16	0.9258116658
17	0.9092221639
18	0.8945919102
19	0.8812723049
20	0.8685719005
21	0.8552289158
22	0.842164562
23	0.8299316758
24	0.8181254034
25	0.8077027588
26	0.7968391439
27	0.7863478613
28	0.777392835
29	0.7673764846
30	0.7588638332
31	0.7501139144
32	0.7412767126
33	0.7330603428
34	0.7255968021
35	0.7180544098
36	0.7111379172
37	0.7042953706
38	0.6971413887
39	0.6902349583
40	0.6833648291
41	0.6772978829
42	0.6714790209
43	0.6653168172
44	0.6591495723
45	0.653607363
46	0.6480439659
47	0.6422124178
48	0.6375715759
49	0.6325733302
50	0.6274989405
51	0.622915963
52	0.6181953934
53	0.6138178494
54	0.6092255389
55	0.6051233342
56	0.6012328154
57	0.5972926504
58	0.5930835038
59	0.5891710767
60	0.5851508515
61	0.5812231161
62	0.5778976024
63	0.574892545
64	0.57147634
65	0.5681855397
66	0.5647139235
67	0.5611503463
68	0.5581299663
69	0.5549412938
70	0.5519482593
71	0.549220401
72	0.5465621878
73	0.5438856366
74	0.5410509333
75	0.5381406144
76	0.5356409269
77	0.5334520665
78	0.5306391307
79	0.5284008506
80	0.5263636209
81	0.5239425967
82	0.5213929991
83	0.5191757665
84	0.5169597464
85	0.5144982793
86	0.5122591726
87	0.5102231337
88	0.5082812589
89	0.5061673357
90	0.5041230652
91	0.5022672359
92	0.5005470297
93	0.4989455079
94	0.497175047
95	0.4952730513
96	0.4934570516
97	0.4917920417
98	0.4899597797
99	0.4881397724
100	0.4864326265
101	0.484736273
102	0.4830086318
103	0.4814324798
104	0.4798682356
105	0.4785064481
106	0.4772584867
107	0.4756322297
108	0.4741630763
109	0.4730721312
110	0.471512319
111	0.470085542
112	0.468658844
113	0.4675089116
114	0.4659403555
115	0.4644749492
116	0.4632515494
117	0.4619194333
118	0.4603999895
119	0.4591320073
120	0.4577594772
121	0.4566682322
122	0.4555348274
123	0.4545357077
124	0.4533943181
125	0.4520372396
126	0.4506177202
127	0.44938848
128	0.4482294309
129	0.4470100243
130	0.4458515747
131	0.4446386058
132	0.4437409391
133	0.4426070976
134	0.4415912153
135	0.4403655749
136	0.4392372999
137	0.4382070147
138	0.4372605664
139	0.4365153149
140	0.4353456634
141	0.4341855891
142	0.4334087443
143	0.4322416861
144	0.4314650167
145	0.4306488777
146	0.4296777913
147	0.42861232
148	0.4275709592
149	0.4266133471
150	0.4259435408
151	0.4252958794
152	0.4245605262
153	0.4235592216
154	0.422613279
155	0.4217118771
156	0.4208127798
157	0.4202535643
158	0.4195008222
159	0.4187268767
160	0.4179693527
161	0.4172746698
162	0.4165260292
163	0.4159050865
164	0.4149032091
165	0.4141174152
166	0.4133054562
167	0.4125995028
168	0.4117122283
169	0.4110251862
170	0.4101798034
171	0.4094752345
172	0.4088143365
173	0.4081155786
174	0.4073853546
175	0.4065006278
176	0.4057549632
177	0.4051724755
178	0.4045061559
179	0.4037119328
180	0.402913417
181	0.4020465887
182	0.4011756631
183	0.4007720104
184	0.3999815451
185	0.3993462267
186	0.3986282764
187	0.3978479848
188	0.397200655
189	0.3965063892
190	0.3958191523
191	0.3953028758
192	0.394748924
193	0.3941919693
194	0.39359696
195	0.3930633104
196	0.3925371762
197	0.3918580673
198	0.3911386863
199	0.3904981304
200	0.3896743784
201	0.3891111686
202	0.3884640467
203	0.3879399926
204	0.3872854036
205	0.3864877743
206	0.3858829705
207	0.3853665135
208	0.3847415837
209	0.3840583068
210	0.3835253772
211	0.3829060834
212	0.3820030916
213	0.381451756
214	0.3809149547
215	0.3802040118
