iter	Passed	Remaining
0	76	45837
1	91	27473
2	105	20978
3	119	17748
4	133	15914
5	149	14820
6	163	13873
7	177	13168
8	191	12579
9	205	12147
10	219	11754
11	235	11537
12	248	11233
13	262	11000
14	277	10832
15	292	10668
16	308	10569
17	321	10405
18	338	10336
19	354	10274
20	367	10143
21	381	10024
22	395	9933
23	408	9815
24	421	9705
25	435	9611
26	450	9563
27	469	9582
28	483	9513
29	501	9522
30	516	9473
31	528	9387
32	543	9330
33	557	9279
34	573	9255
35	587	9200
36	600	9141
37	615	9097
38	631	9076
39	646	9054
40	662	9027
41	675	8972
42	689	8928
43	703	8890
44	718	8855
45	732	8825
46	746	8781
47	761	8753
48	775	8717
49	788	8677
50	804	8660
51	817	8617
52	832	8586
53	845	8549
54	859	8516
55	874	8494
56	888	8463
57	902	8431
58	915	8396
59	929	8365
60	945	8357
61	960	8335
62	974	8305
63	987	8274
64	1001	8242
65	1015	8212
66	1028	8179
67	1041	8148
68	1056	8128
69	1070	8106
70	1084	8077
71	1097	8049
72	1112	8030
73	1128	8018
74	1141	7990
75	1154	7961
76	1168	7938
77	1184	7927
78	1199	7907
79	1212	7882
80	1225	7854
81	1240	7836
82	1253	7810
83	1266	7782
84	1280	7759
85	1296	7748
86	1311	7736
87	1325	7714
88	1340	7696
89	1354	7676
90	1370	7667
91	1385	7649
92	1397	7620
93	1412	7602
94	1428	7591
95	1442	7575
96	1456	7551
97	1473	7547
98	1490	7542
99	1505	7525
100	1519	7507
101	1532	7483
102	1548	7472
103	1563	7457
104	1580	7449
105	1595	7433
106	1610	7421
107	1627	7413
108	1644	7409
109	1662	7404
110	1677	7391
111	1692	7376
112	1707	7357
113	1722	7345
114	1736	7324
115	1751	7307
116	1766	7292
117	1783	7284
118	1799	7271
119	1812	7249
120	1826	7228
121	1842	7220
122	1857	7203
123	1871	7185
124	1888	7176
125	1903	7161
126	1919	7148
127	1934	7133
128	1948	7112
129	1962	7095
130	1979	7086
131	1994	7069
132	2009	7057
133	2024	7039
134	2038	7022
135	2053	7005
136	2066	6984
137	2081	6967
138	2097	6956
139	2111	6936
140	2125	6917
141	2141	6907
142	2154	6885
143	2169	6869
144	2184	6854
145	2198	6836
146	2213	6821
147	2228	6806
148	2242	6788
149	2258	6774
150	2270	6752
151	2284	6733
152	2298	6715
153	2312	6696
154	2328	6683
155	2342	6666
156	2356	6650
157	2374	6643
158	2391	6633
159	2405	6613
160	2419	6597
161	2433	6580
162	2448	6563
163	2461	6543
164	2475	6526
165	2491	6513
166	2509	6505
167	2522	6487
168	2538	6473
169	2552	6456
170	2566	6438
171	2579	6417
172	2593	6400
173	2608	6385
174	2622	6369
175	2639	6358
176	2653	6340
177	2666	6321
178	2681	6306
179	2696	6291
180	2710	6274
181	2725	6259
182	2740	6245
183	2754	6228
184	2768	6209
185	2781	6191
186	2796	6176
187	2809	6158
188	2823	6140
189	2837	6123
190	2854	6111
191	2868	6095
192	2882	6078
193	2895	6060
194	2909	6041
195	2923	6025
196	2936	6006
197	2949	5988
198	2963	5972
199	2977	5954
200	2992	5941
201	3006	5924
202	3021	5908
203	3035	5891
204	3048	5873
205	3062	5857
206	3078	5844
207	3092	5828
208	3106	5812
209	3121	5797
210	3136	5783
211	3152	5768
212	3164	5749
213	3178	5732
214	3191	5715
215	3209	5705
216	3222	5687
217	3236	5670
218	3250	5655
219	3264	5638
220	3277	5621
221	3292	5606
222	3306	5590
223	3321	5575
224	3335	5559
225	3350	5544
226	3363	5527
227	3378	5512
228	3392	5496
229	3408	5483
230	3421	5464
231	3434	5448
232	3451	5436
233	3465	5420
234	3479	5404
235	3493	5388
236	3507	5372
237	3520	5354
238	3534	5338
239	3549	5324
240	3564	5310
241	3579	5294
242	3593	5278
243	3614	5272
244	3630	5260
245	3648	5250
246	3668	5243
247	3684	5229
248	3701	5217
249	3716	5202
250	3732	5189
251	3750	5178
252	3766	5166
253	3780	5150
254	3803	5146
255	3819	5132
256	3832	5115
257	3847	5100
258	3863	5086
259	3876	5069
260	3890	5053
261	3905	5038
262	3921	5025
263	3936	5010
264	3949	4993
265	3963	4977
266	3977	4960
267	3990	4943
268	4005	4928
269	4018	4911
270	4034	4897
271	4049	4883
272	4064	4868
273	4077	4851
274	4091	4835
275	4105	4819
276	4118	4802
277	4135	4789
278	4149	4774
279	4164	4758
280	4177	4742
281	4191	4726
282	4204	4710
283	4219	4694
284	4232	4678
285	4247	4662
286	4261	4647
287	4277	4633
288	4292	4619
289	4306	4603
290	4320	4588
291	4336	4574
292	4349	4557
293	4364	4542
294	4378	4527
295	4393	4512
296	4406	4495
297	4422	4481
298	4436	4466
299	4450	4450
300	4464	4435
301	4478	4419
302	4492	4403
303	4507	4389
304	4522	4374
305	4541	4363
306	4556	4348
307	4569	4332
308	4585	4318
309	4598	4302
310	4613	4286
311	4628	4272
312	4647	4261
313	4661	4245
314	4676	4230
315	4689	4214
316	4704	4200
317	4717	4183
318	4733	4169
319	4746	4152
320	4760	4137
321	4776	4124
322	4789	4107
323	4805	4093
324	4823	4081
325	4836	4065
326	4849	4049
327	4866	4035
328	4882	4022
329	4896	4006
330	4909	3989
331	4923	3974
332	4938	3959
333	4953	3944
334	4966	3928
335	4980	3913
336	4995	3898
337	5008	3882
338	5024	3868
339	5039	3853
340	5052	3837
341	5066	3821
342	5079	3806
343	5093	3790
344	5107	3774
345	5121	3759
346	5135	3744
347	5149	3729
348	5163	3713
349	5176	3697
350	5191	3682
351	5204	3666
352	5217	3650
353	5233	3636
354	5246	3620
355	5261	3606
356	5276	3591
357	5291	3576
358	5304	3561
359	5319	3546
360	5332	3530
361	5346	3514
362	5363	3501
363	5379	3487
364	5393	3472
365	5408	3457
366	5423	3443
367	5438	3428
368	5451	3412
369	5467	3398
370	5482	3384
371	5498	3369
372	5511	3354
373	5526	3339
374	5540	3324
375	5554	3309
376	5568	3293
377	5580	3277
378	5595	3262
379	5610	3248
380	5624	3232
381	5639	3218
382	5654	3203
383	5667	3188
384	5681	3172
385	5694	3157
386	5709	3142
387	5725	3128
388	5739	3112
389	5753	3097
390	5767	3082
391	5781	3067
392	5794	3052
393	5808	3036
394	5822	3021
395	5836	3006
396	5851	2991
397	5864	2976
398	5879	2961
399	5892	2946
400	5907	2931
401	5920	2916
402	5935	2901
403	5950	2886
404	5964	2871
405	5977	2856
406	5991	2841
407	6006	2826
408	6020	2811
409	6033	2796
410	6048	2781
411	6062	2766
412	6079	2752
413	6092	2737
414	6106	2722
415	6119	2706
416	6136	2692
417	6149	2677
418	6162	2662
419	6176	2647
420	6190	2632
421	6204	2617
422	6217	2601
423	6230	2586
424	6246	2572
425	6260	2557
426	6275	2542
427	6288	2527
428	6304	2513
429	6318	2498
430	6332	2483
431	6345	2467
432	6358	2452
433	6373	2437
434	6387	2422
435	6400	2407
436	6413	2392
437	6428	2377
438	6445	2363
439	6460	2349
440	6475	2334
441	6490	2320
442	6503	2305
443	6519	2290
444	6533	2275
445	6549	2261
446	6567	2248
447	6583	2233
448	6599	2219
449	6615	2205
450	6631	2190
451	6649	2177
452	6666	2163
453	6680	2148
454	6697	2134
455	6711	2119
456	6725	2104
457	6741	2090
458	6755	2075
459	6771	2060
460	6785	2045
461	6799	2030
462	6813	2016
463	6827	2001
464	6841	1986
465	6860	1972
466	6874	1957
467	6890	1943
468	6905	1928
469	6920	1914
470	6934	1899
471	6952	1885
472	6967	1870
473	6983	1856
474	6998	1841
475	7012	1826
476	7027	1812
477	7040	1797
478	7056	1782
479	7072	1768
480	7086	1753
481	7101	1738
482	7117	1724
483	7133	1709
484	7148	1695
485	7163	1680
486	7178	1665
487	7192	1650
488	7207	1636
489	7221	1621
490	7235	1606
491	7250	1591
492	7264	1576
493	7277	1561
494	7294	1547
495	7308	1532
496	7321	1517
497	7335	1502
498	7350	1487
499	7363	1472
500	7378	1457
501	7392	1443
502	7406	1428
503	7420	1413
504	7435	1398
505	7448	1383
506	7463	1369
507	7477	1354
508	7491	1339
509	7508	1325
510	7524	1310
511	7537	1295
512	7552	1280
513	7565	1265
514	7578	1250
515	7596	1236
516	7610	1221
517	7626	1207
518	7642	1192
519	7656	1177
520	7672	1163
521	7685	1148
522	7698	1133
523	7712	1118
524	7725	1103
525	7739	1088
526	7755	1074
527	7768	1059
528	7782	1044
529	7796	1029
530	7809	1014
531	7822	999
532	7837	985
533	7853	970
534	7869	956
535	7883	941
536	7899	926
537	7913	911
538	7926	897
539	7941	882
540	7954	867
541	7969	852
542	7982	837
543	7996	823
544	8011	808
545	8024	793
546	8040	779
547	8053	764
548	8067	749
549	8085	735
550	8100	720
551	8113	705
552	8127	690
553	8141	676
554	8155	661
555	8169	646
556	8183	631
557	8197	617
558	8212	602
559	8226	587
560	8240	572
561	8253	558
562	8268	543
563	8282	528
564	8295	513
565	8311	499
566	8325	484
567	8341	469
568	8355	455
569	8369	440
570	8382	425
571	8395	410
572	8409	396
573	8422	381
574	8436	366
575	8451	352
576	8467	337
577	8483	322
578	8499	308
579	8516	293
580	8529	278
581	8542	264
582	8557	249
583	8575	234
584	8592	220
585	8607	205
586	8621	190
587	8634	176
588	8653	161
589	8667	146
590	8682	132
591	8696	117
592	8710	102
593	8724	88
594	8738	73
595	8752	58
596	8765	44
597	8778	29
598	8790	14
599	8805	0
