iter	Passed	Remaining
0	73	44029
1	100	30190
2	126	25131
3	150	22355
4	171	20355
5	193	19174
6	213	18105
7	237	17595
8	263	17273
9	285	16867
10	308	16493
11	331	16247
12	354	16013
13	379	15884
14	402	15689
15	424	15511
16	445	15268
17	463	14988
18	481	14727
19	500	14524
20	521	14376
21	540	14193
22	561	14087
23	578	13893
24	597	13746
25	617	13641
26	637	13518
27	657	13441
28	676	13317
29	695	13215
30	714	13113
31	735	13049
32	752	12936
33	774	12888
34	793	12806
35	811	12719
36	833	12683
37	853	12621
38	872	12549
39	892	12493
40	912	12446
41	932	12388
42	952	12336
43	974	12316
44	995	12276
45	1012	12198
46	1032	12147
47	1050	12086
48	1068	12013
49	1087	11967
50	1106	11907
51	1125	11859
52	1147	11847
53	1174	11872
54	1194	11834
55	1213	11786
56	1232	11744
57	1250	11684
58	1271	11659
59	1293	11642
60	1314	11616
61	1334	11577
62	1354	11546
63	1374	11513
64	1393	11473
65	1416	11461
66	1435	11418
67	1453	11367
68	1471	11324
69	1493	11305
70	1512	11272
71	1532	11239
72	1550	11196
73	1573	11181
74	1596	11177
75	1614	11134
76	1634	11103
77	1654	11070
78	1674	11040
79	1694	11015
80	1716	10999
81	1736	10966
82	1753	10923
83	1772	10886
84	1790	10845
85	1816	10857
86	1836	10831
87	1857	10806
88	1877	10777
89	1899	10761
90	1919	10734
91	1939	10711
92	1962	10698
93	1983	10677
94	2005	10659
95	2027	10642
96	2044	10602
97	2063	10571
98	2081	10536
99	2102	10511
100	2120	10475
101	2140	10450
102	2158	10416
103	2179	10396
104	2198	10362
105	2219	10343
106	2238	10315
107	2256	10278
108	2274	10246
109	2291	10209
110	2312	10186
111	2332	10161
112	2352	10136
113	2370	10104
114	2391	10084
115	2414	10073
116	2438	10066
117	2457	10038
118	2475	10004
119	2493	9973
120	2510	9939
121	2530	9914
122	2549	9885
123	2570	9868
124	2590	9843
125	2608	9811
126	2627	9785
127	2647	9762
128	2667	9738
129	2685	9707
130	2706	9690
131	2727	9669
132	2744	9635
133	2764	9613
134	2784	9590
135	2802	9563
136	2819	9528
137	2838	9501
138	2856	9472
139	2876	9450
140	2897	9432
141	2917	9410
142	2936	9383
143	2954	9357
144	2972	9328
145	2991	9302
146	3011	9279
147	3032	9261
148	3054	9246
149	3075	9227
150	3095	9203
151	3111	9170
152	3130	9145
153	3147	9116
154	3168	9097
155	3188	9075
156	3207	9051
157	3227	9029
158	3245	9001
159	3264	8977
160	3283	8952
161	3303	8932
162	3321	8905
163	3339	8878
164	3356	8850
165	3374	8823
166	3392	8795
167	3411	8773
168	3431	8751
169	3453	8734
170	3476	8722
171	3498	8706
172	3520	8688
173	3540	8667
174	3558	8642
175	3575	8614
176	3594	8589
177	3612	8565
178	3631	8542
179	3652	8522
180	3674	8505
181	3695	8488
182	3717	8470
183	3740	8456
184	3759	8433
185	3776	8406
186	3795	8382
187	3815	8361
188	3832	8334
189	3852	8312
190	3871	8290
191	3889	8265
192	3905	8236
193	3922	8209
194	3940	8183
195	3960	8162
196	3979	8140
197	3996	8113
198	4014	8088
199	4031	8063
200	4050	8040
201	4070	8019
202	4086	7992
203	4107	7972
204	4126	7950
205	4142	7923
206	4160	7899
207	4180	7878
208	4198	7855
209	4222	7841
210	4238	7814
211	4256	7790
212	4274	7767
213	4294	7746
214	4313	7724
215	4331	7699
216	4348	7675
217	4368	7655
218	4389	7635
219	4407	7612
220	4426	7591
221	4444	7567
222	4463	7545
223	4485	7529
224	4507	7511
225	4524	7486
226	4540	7461
227	4557	7435
228	4574	7411
229	4596	7394
230	4616	7374
231	4634	7350
232	4651	7327
233	4668	7302
234	4687	7280
235	4709	7263
236	4727	7240
237	4745	7217
238	4762	7194
239	4780	7171
240	4801	7151
241	4820	7130
242	4838	7108
243	4858	7088
244	4877	7066
245	4894	7043
246	4918	7029
247	4936	7006
248	4954	6984
